NIM,Program Studi : ,IPK Terakhir : ,Jenis Kelamin,Tinggi Badan : ,Berat Badan : ,Pendidikan terakhir ,Rata-rata belajar perminggu (dalam jam) : ,Apakah penerima beasiswa : ,"Asal Daerah (Kota beserta Provinsi) : 
Ex : Padang, Sumatera Barat ",Pekerjaan saat ini (selain kuliah) ,Akses Internet (yang paling sering digunakan) ,Keterlibatan Organisai ,"Uang Saku : 
(yang diberikan oleh orangtua)","Jenis Tempat Tinggal : 
(Tempat tinggal saat ini) ",Jarak rumah dari kampus ITERA :  ,Jenis pekerjaan Ayah : ,Jenis pekerjaan Ibu : ,Pendapatan Orangtua : ,Jumlah Anggota Keluarga : 
01,Sains Data,4. 0,Laki-laki,160,50,SMA,3,Tidak,"Lampung utara, lampung",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Asrama,< 1 km,Petani/ Nelayan,Ibu Rumah Tangga,< 1jt,4
02,Matematika ,3.8,Laki-laki,169,57,SMA,48,Tidak,Lampung ,Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Wiraswata,Ibu Rumah Tangga,3 jt - 5jt,3
03,Sains Data,3.4,Perempuan,150,39,SMA,"17,5",Tidak,"Pringsewu, Lampung ",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,1 km - 2 km,Wiraswata,Ibu Rumah Tangga,< 1jt,5
04,Sains Data ,3.86,Laki-laki,170,65,SMA,4,Tidak,"Lampung Tengah, Lampung ",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Ibu Rumah Tangga,1jt - 3jt,4
05,Sains Data,3.97,Laki-laki,170,63,SMA,30,Tidak,"Lampung Tengah,Lampung",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Wiraswata,PNS,7 jt - 9 jt,6
06,Sains Data,3.35,Perempuan,154,40,SMA,3jam,Tidak,"Lampung Tengah, Lampung",Tidak bekerja,Paket Data Seluler,Lainnya,500k s.d 1 jt,Rumah mengontrak bersama-sama,< 1 km,Petani/ Nelayan,PNS,1jt - 3jt,6
07,Sains Data,3.06,Perempuan,157,45,SMA,10,Tidak,"Bandar Lampung, Lampung ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1 jt s.d 1,5 jt",Tinggal besama orangtua,> 5 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,4
08,Sains Data,2.78,Laki-laki,115,56,SMA,4,Tidak,"Kota Bekasi, Jawa Barat",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Kos,3 km - 4 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,4
09,Rekayasa Tata Kelola Air Terpadu ,3.18,Perempuan,153,44,SMA,3-5jam,Ya,"Kalirejo, Lampung Tengah, Lampung ",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Rumah mengontrak bersama-sama,2 km - 3 km,Petani/ Nelayan,Petani/ Nelayan,< 1jt,6
10,Sains Data,3.15,Perempuan,155,50,SMA,30,Ya,"Lampung Tengah, Lampung",Tidak bekerja,Fasilitas Kampus,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,> 5 km,Petani/ Nelayan,Ibu Rumah Tangga,< 1jt,4
11,Sains Data ,3.43,Laki-laki,17y,62,SMA,10-12,Tidak,"Lampung Tengah, Lampung ",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,3 km - 4 km,PNS,Ibu Rumah Tangga,5 jt - 7 jt,6
12,Sains data ,3.07,Laki-laki,168,68,SMA,40 jam,Tidak,"Lampung Timur, Lampung ",Paruh Waktu,Fasilitas Kampus,Tidak Aktif,500k s.d 1 jt,Rumah mengontrak bersama-sama,2 km - 3 km,Lainnya,Lainnya,3 jt - 5jt,9
13,Sains Data,2.89,Laki-laki,167 cm,58 kg,SMA,5 jam,Tidak,"Padang,Sumater Barat",Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Karyawan Swasta,Lainnya,1jt - 3jt,6 orang
14,Sains Data ,3.26,Perempuan,150,58,SMA,8 jam,Ya,"Tulang Bawang, Lampung ",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Lainnya,1jt - 3jt,4
15,Sains Data,4,Laki-laki,166,56,SMK,10,Tidak,Lampung,Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Pensiunan,PNS,5 jt - 7 jt,5
16,Sains Data,4,Perempuan,155,40,SMA,3,Tidak,"Padang, Sumatera Barat",Tidak bekerja,Fasilitas Kampus,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Karyawan Swasta,Ibu Rumah Tangga,1jt - 3jt,6
17,Sains Data ,2.85,Perempuan,165,59,SMA,24 jam,Tidak,"Metro, Lampung ",Paruh Waktu,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Petani/ Nelayan,Petani/ Nelayan,1jt - 3jt,4
18,Sains Data,3,Perempuan,150,41,SMA,60 jam,Tidak,"way kanan, lampung utara",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Tinggal besama orangtua,> 5 km,Wiraswata,Ibu Rumah Tangga,7 jt - 9 jt,4
19,Sains Data,3,Laki-laki,167,59,SMA,16,Tidak,"Bandar Lampung, Lampung",Tidak bekerja,Wi-Fi pribadi,Lainnya,"1 jt s.d 1,5 jt",Tinggal besama orangtua,> 5 km,Wiraswata,Ibu Rumah Tangga,7 jt - 9 jt,3
20,Sains Data ,.,Perempuan,152,51,SMA,5,Ya,"Dairi, Sumatra Utara ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Asrama,< 1 km,Petani/ Nelayan,Petani/ Nelayan,1jt - 3jt,6
21,sains data,-,Laki-laki,163,55,SMA,49,Tidak,"bandar lampung,lampung",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,PNS,Ibu Rumah Tangga,> 9jt,4
22,Sains Data ,Belum keluar masih semester 1,Perempuan,66,68,SMA,2 jam ,Tidak,Lampung Tengah ,Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,3 km - 4 km,Lainnya,Ibu Rumah Tangga,< 1jt,3
23,Sains Data,-,Perempuan,150,55,SMA,15 jam,Ya,"Tarutung, Sumatera Utara ",Tidak bekerja,Fasilitas Kampus,Lainnya,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Petani/ Nelayan,< 1jt,3 orang
24,Sains Data,-,Perempuan,161,40,SMA,20,Tidak,"Semarang, Jawa Tengah",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Lainnya,Lainnya,1jt - 3jt,5
25,Sains Data,-,Laki-laki,170,68,SMA,120 menit per hari,Tidak,"Palembang, Sumatera Selatan",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Kos,< 1 km,PNS,Ibu Rumah Tangga,3 jt - 5jt,7
